,0
player.id,float64
player.name,object
position.name,object
team.id,int64
team.name,object
season_id,int64
type.name,object
pass.shot_assist,object
key_pass,float64
key_pass.statsbomb_xg,float64
pass.goal_assist,object
forward_pass_defensive_third_successful,float64
forward_pass_defensive_third_unsuccessful,float64
forward_pass_defensive_third_attempt,float64
forward_pass_middle_third_successful,float64
forward_pass_middle_third_unsuccessful,float64
forward_pass_middle_third_attempt,float64
forward_pass_attacking_third_successful,float64
forward_pass_attacking_third_unsuccessful,float64
forward_pass_attacking_third_attempt,float64
sideways_pass_defensive_third_successful,float64
sideways_pass_defensive_third_unsuccessful,float64
sideways_pass_defensive_third_attempt,float64
sideways_pass_middle_third_successful,float64
sideways_pass_middle_third_unsuccessful,float64
sideways_pass_middle_third_attempt,float64
sideways_pass_attacking_third_successful,float64
sideways_pass_attacking_third_unsuccessful,float64
sideways_pass_attacking_third_attempt,float64
backpass_defensive_third_successful,float64
backpass_defensive_third_unsuccessful,float64
backpass_defensive_third_attempt,float64
backpass_middle_third_successful,float64
backpass_middle_third_unsuccessful,float64
backpass_middle_third_attempt,float64
backpass_attacking_third_successful,float64
backpass_attacking_third_unsuccessful,float64
backpass_attacking_third_attempt,float64
carry_distance,float64
carry_speed_mph,float64
carry_defensive_third,float64
carry_middle_third,float64
carry_attacking_third,float64
ball_recovery.offensive,object
ball_recovery.recovery_failure,object
dribble.nutmeg,object
dribble_defensive_third_successful,float64
dribble_defensive_third_unsuccessful,float64
dribble_defensive_third_attempt,float64
dribble_middle_third_successful,float64
dribble_middle_third_unsuccessful,float64
dribble_middle_third_attempt,float64
dribble_attacking_third_successful,float64
dribble_attacking_third_unsuccessful,float64
dribble_attacking_third_attempt,float64
block,float64
clearance,float64
foul_committed,float64
foul_committed.penalty,object
yellow_card,float64
red_card,float64
goalkeeper.type.name_Goal_Conceded,bool
goalkeeper.type.name_Saved,bool
goalkeeper.type.name_Keeper_Sweeper,bool
goalkeeper.type.name_Penalty_Conceded,bool
goalkeeper.statsbomb_xg,float64
foul_won,float64
foul_won.penalty,object
shot.statsbomb_xg,float64
shot.outcome.name_Off_Target,bool
shot.outcome.name_Blocked,bool
shot.outcome.name_Post,bool
shot.outcome.name_Goal,bool
shot.outcome.name_Saved,bool
shot.attempted,float64
dribbled_past,float64
interception,object
miscontrol,float64
dispossessed,float64
duel.outcome.name_attempt,float64
duel.outcome.name_successful,float64
duel.outcome.name_unsuccessful,float64
dribble.outcome.name_attempt,float64
dribble.outcome.name_successful,float64
dribble.outcome.name_unsuccessful,float64
50_50.outcome.name_attempt,float64
50_50.outcome.name_successful,float64
50_50.outcome.name_unsuccessful,float64
